CAPITAL AIR (PTY) LTD;118270335;info@capitalairsa.com;
SIDAS SECURITY GUARDS (PTY) LTD;219302073;bongin@sidas.co.za;
NYATI SECURITY SOLUTIONS;413641181;patrick@nyatisecurity.co.za;
TRACKER CONNECT (PTY) LTD;113800300;btippett@tracker.co.za;
COMBAT FORCE (CAPE) CC;217067775;comforce@iafrica.com;
METRO SECURITY SERVICES;418118499;rowlin@metrosecurity.co.za;
PRO EVENTS;212018763;info@proevents-sa.co.za;
A & J ELECTRON;129420293;jdv@cknet.co.za;
STARLIGHT SECURITY SOLUTIONS;437260523;starslight@blue-crane.co.za;
BROUBART SECURITY CC;437438142;info@broubart.co.za;
BROUBART CLEANING AND SECURITY;415825082;broubart@securityhouse.co.za;
SECURO WORLD CC;145921917;sharonsecuro@gmail.com;
SURE GUARD;123740011;info@sureguardcc.co.za;
EASY SECURITY AUTOMATIC GATE SYSTEMS & ARMED GUARDS;116401654;easysecurity@telkomsa.net;
STEGEN ENTERPRISES CC;334171840;b-secure@sai.co.za;
BATALEUR SECURITY SERVICES (PTY) LTD;161004990;fanie@bataleur.co.za;
R D S SECURITY;823805464;info@rdssecurity.co.za;
ATLAS SECURITY;414012222;info@atlas24.co.za;
PRIME SECURITY;861993399;admin@psms.co.za;
ENLIGHTENED SECURITY FORCE (PTY) LTD;114870582;marketing@enlightened.co.za;
HANSA GATES;114782401;;
MAPOGO A MATHAMAGA;113145606;info@mapogoafrica.co.za;
TIGER ALARMS CC;319404429;info@tigeralarms.co.za;
WISE TRAINING CENTRE;366378201;wisetraining@mweb.co.za;
SECURITAS SA (PTY) LTD;217623813;info.cpt@securitas-rsa.co.za;
ROMAN ALARMS;861076626;reception@romanalarms.co.za;
NSA BURGLAR ALARMS;414502495;control24@nsa-burglaralarms.co.za;
KA LETHABO TRADING;118878035;amon@ka-lethabo.co.za;
L L SECURITY;116150190;info@llsecurity.co.za;
ELECTRA RADIO;137526677;sales@electracom.co.za;
GOLDREST FUNERAL SERVICES;178831049;makolafrank@gmail.com;
FENCING-ELECTRIC;437434923;tatty@global.co.za;
INFANTRY SECURITY SERVICES (PTY) LTD;113155055;accounts@infantry.co.za;
AMAKHOSI PROTECTION SERVICES;319419531;rory@amakhosiprotection.co.za;
NIQUA SEKURITEIT (PTY) LTD;448736424;niqua@mweb.co.za;
OPTIMUM SECURITY;861011100;optimum@optimumsecurity.co.za;
BURUMA SECURITY & CLEANING SERVICES;827247898;a.mgqweto@gmail.com;
J A J ALARM SPECIALISTS CC;860541221;;
WESTERN TVL SECURITY SERVICES;861000695;wtss@telkomsa.net;
FANG SECURITY;212028388;fredo@fang.co.za;
VIZUAL SECURITY;215550355;info@vizual.org.za;
NHLALENHLE SECURITY;319439862;nhlalenhlesecurity@gmail.com;
SENSOR SECURITY SYSTEMS (PTY) LTD;219147557;info@sensorsecurity.net;
KS SECURITY AND BODYGUARDING;318266107;ksbodyguarding@telkomsa.net;
GORDON'S BAY SECURITY;218560214;info@gbsec.co.za;
MARSHALL SECURITY;861627732;graeme@marshallsecurity.co.za;
MULTIVISION TECHNOLOGY (PTY) LTD;215554965;info@multivisiont.com;
INGQINISO SECURITY CO;783612989;mhlanasamuel@gmail.com;
FIDELITY SECURITY SERVICES (PTY) LTD;216901600;media@fidelitysecurity.co.za;
SANDILE SECURITY SERVICES;861726345;info@sandilesecurity.co.za;
PHOTONOTE CC;315838500;rpereira@photonote.co.za;
SECHABA PROTECTION SERVICES;216962040;info@sechabap.co.za;
SOUTH MANAGEMENT CONSULTANTS CC;118965706;admin@southmc.co.za;
C R D SECURITY;824685833;crd-sec@mweb.co.za;
MAGIC LABOUR HIRE & SECURITY SERVICES;164229243;thomasmagicsec@yahoo.com;
MAGIC LABOUR HIRE AND SECURITY SERVICES;164229243;thomasmagicsec@yahoo.com;
HWIBIDU SECURITY;718714256;info@hwibidusec.co.za;
MJAYELI SECURITY;217975722;infoct@mjayelisecurities.co.za;
WEST POINT PROTECTION;219452894;westpointprotection2@gmail.com;
FIREECH PROJECTS (CAPE TOWN) (PTY) LTD;219050447;firetech@cpt.firetech.co.za;
MULTONDOTI CATER & SERVICES;715324848;nenungwiholdings@gmail.com;
RAAD VAN SEKURITEITSBEAMPTES;214252370;;
WHITE LEOPARD SECURITY (POLOKWANE);152912680;proma@telkomsa.net;
ROAN SECURITY;217123129;dylon@rsec.co.za;
RISKCON SECURITY HOLDINGS (PTY) LTD;110359000;reception@riskcon.co.za;
MAYDAY ALARMS;586221568;jh@maydayalarms.co.za;
Q SECURITY SERVICES CC;312050065;qsecurity@worldonline.co.za;
ALTECH CARD SOLUTIONS;215253900;henkh@acs.altech.co.za;
SECURIMART;215572321;tview@securimart.co.za;
D S G SECURITY;215912093;admincpt@dsgsecurity.co.za;
IMVULA QUALITY PROTECTION (AFRICA) (PTY) LTD;215060700;reception@imvula.net;
A S A P SECURITY(DURBANVILLE);219751622;asap@wol.co.za;
CAPITAL SECURITY;219874744;janeke@capitalservices.co.za;
RAITE SECURITIES;215950218;pat@raite.co.za;
MOLALATAU SECURITY;860102859;hendrik@molalatausecurity.co.za;
THORBURN SECURITY SOLUTIONS (SOUTHERN REGION) (PTY) LTD;278311716;benjamink@transhex.co.za;
CGM SECURITY & CLEANING DIVISION;219511412;cgmsecuritysolutions@telkomsa.net;
KHULULEKANI SECURITY SERVICES;118385543;khululekani@telkomsa.net;
WHITE LEOPARD SECURITY;145556198;proma@telkomsa.net;
SECURITY OFFICE;217132313;jackied@redefine.co.za;
E P R SEKURITEIT;861692195;jkrogh.epr@netactive.co.za;
SHIRELETSANG SECURITY & CLEANING SERVICES;114200776;dickson.mofekeng@shireletsang.co.za;
SECURE RITE SECURITY (PTY) LTD;860103099;craig@securerite.co.za;
