W B H O CONSTRUCTION (PTY) LTD;0114478294;wbhoho@wbho.co.za;






LEMA CIVILS AND PLANT HIRE;0218555134;lemacivils@telkomsa.net;






FRANKENFELD & KING ARCHITECTS CC;0217617994;peter@fkarchitects.co.za;






COMBERERO CONSULTING AND EQUIPMENT SERVICES (PTY) LTD;0117594058;busi@comberero.co.za;






B B M M ROAD CONSTRUCTION;0113961725;bbmm@wol.co.za;






BILLET CONSTRUCTION SERVICES CC;0113261694;n.lockette@billet.co.za;






ROADS AND TRANSPORT (LEPHALALE);0147631527;;






PHUMELELA DLOOMO CONSTRUCTION (PTY) LTD;0118693649;;






FAB SA;0164244657;admin@fabsa.net;






STEDONE CIVILS;0317130737;info@stedone.co.za;






C & C MOSS PLANT HIRE CC;0832301548;clinton@ccmossplanthire.co.za;






BAITSWENG CIVIL ENGINEERING CONTRACTORS (PTY) LTD;0110294222;bmachaba@workmail.co.za;






TURNER & TOWNSEND (PTY) LTD;0214217001;info@cpt-turntown.co.za;






TRADEBUILD BUILDING CONSTRUCTION (PTY) LTD;0218576004;anthonyfrederick15@gmail.com;






BUILDERS TRAINING CENTRE;0119862171;btc@imaginet.co.za;






SHAFT SINKERS (PTY) LTD;0114454300;sinkers@shaftsinkers.co.za;






RST CONSTRUCTION AND CATERING (PTY) LTD;0787079193;;






STEFCOR CONSTRUCTION CC;0117432080;;






INFIGRO NATURAL TECHNOLOGIES;0116975300;orders@infigro.co.za;






E L B EQUIPMENT;0314646522;elb@elbquip.co.za;






BATEMAN E L ENGINEERING LTD;0118999111;;






C S E EQUIPMENT;0119222000;info@cse.co.za;






KANTEY & TEMPLER (PTY) LTD;0312666535;andrews@dbn.kanteys.co.za;






JVI SERVICES CC;0164211434;info@jviservices.co.za;






BROLL FACILITIES MANAGEMENT SA (PTY) LTD;0215912261;;






WSP FACILITIES MANAGEMENT SA (PTY) LTD;0214818600;;






G D IRONS CONSTRUCTION (PTY) LTD;0128046755;;






KANTEY & TEMPLER;0393151519;ktps@ps.kanteys.co.za;






GOOD HOPE CONSTRUCTION PLASTERERS;0219328789;zulpha@ghcsa.co.za;






SEDA CONSTRUCTION INCUBATOR;0313094940;info@seci.org.za;






PERMATOOL (PTY) LTD;0118221103;p.chadwick@geismar.com;






NOLITHA (PTY) LTD;0215918183;faizalp@nolitha.co.za;






CIVMAQ PROJECTS (PTY) LTD;0118132539;projects@civmaq.co.za;






TIMBELA PROJECTS (PTY) LTD;0119170474;;






THYSSEN KRUPP INDUSTRIAL SOLUTIONS SA (PTY) LTD;0112361000;;






SJL BUILDING CONSTRUCTION;0119872166;sjhomes@hotmail.com;






MAPHETO BUSINESS SERVICES CC;0153076771;mapheto@telkomsa.net;






MONT CONSULTING ENGINEERS;0152914173;admin@montce.co.za;






PHINDULO CONSULTING ENGINEERS;0152961024;admin@montce.co.za;






ARENGO 6 (PTY) LTD;0118344913;dipuo@arengo6.co.za;






MARSAY CONSTRUCTION SPARES CC;0117951911;mmarsay@global.co.za;






ZANDEVCO (PTY) LTD;0117951913;info@constructionspares.co.za;






RMD KWIKFORM;0126810360;melt.malan@rmdkwikform.com;






RENTTECH SOUTH AFRICA (PTY) LTD;0176313815;m.oosthuizen@renttechsa.co.za;






S A INSTITUTION OF CIVIL ENGINEERING;0118055947;civilinfo@saice.org.za;






INDUSTRIAL ENGINEERING SYSTEMS;0448791292;ies@lantic.net;






KANTEY AND TEMPLER;0214059600;info@ct.kanteys.co.za;






CARRYON PROJECTS CC;0118697688;info@carryonprojects.co.za;






CARRYON PROJECTS 8 CC;0119074136;;






WEST COAST PROJECTS;0227151823;samatha@wc-projects.co.za;






SIBONGISENI QUANTITY SURVEYORS;0333475047;info@sibongiseni.co.za;






