CLEANING SPECIALISTS (DURBAN);152972392;;
BEST GUTTERS;119535219;mark@bestgutters.co.za;
SVM PUMPS - FRANKLIN ELECTRIC;116094150;info@franklin-electric.co.za;
BIDVEST TMS INDUSTRIAL SERVICES (PTY) LTD;413734020;info@tmsg.co.za;
TITAN;837318644;titan@titancor.co.za;
BROUBART SECURITY;437438142;info@broubart.co.za;
BROUBART CLEANING AND SECURITY;415825082;broubart@securityhouse.co.za;
WATERPROOFING & HIGH PRESSURE CLEANING;314649759;gregsamuel@telkomsa.net;
SUPREME DRY CLEANERS & LAUNDERERS (PTY) LTD;118256507;supremeclean@telkomsa.net;
AMACHULE CLEANING & PEST CONTROL SERVICES;415816335;info@amachule.co.za;
FILTRATION & TRANSMISSION SERVICES VANDERBIJL (PTY) LTD;105929867;ray@ftsafrica.co.za;
SERVICE MASTER CARPET CLEANING;312055281;;
NELEDZI CLEANING SERVICES (PTY) LTD;114536008;info@neledzi.com;
DKZEE CLEANING SERVICES;413713917;admin@dkzee.co.za;
AMIGA CLEANSING SERVICES BK;219055970;info@amiga.co.za;
BIDVEST PRESTIGE CLEANING;448013500;presgeorge@presclean.co.za;
IMAGE CLEANING & HYGIENE;317663062;chad@imagecleaning.co.za;info@imagecleaning.co.za
MOROPA CARPET CLEANERS;118872755;moropacarpetcleaners@gmail.com;
CHEMSYS 2007 CC;413737098;chemsys2007@iafrica.com;
VELALANGA CLEANING SERVICE CC;458385536;nontando@xsinet.co.za;
GAMAGARA INNOVATIVE CLEANING BUSINESS (PTY) LTD;533310280;admin@gicb.co.za;
MBATHA MLAMBO TRADING CC;114922347;donald@mmtrading.co.za;
TSEBO CLEANING SOLUTIONS (PTY) LTD;112262300;info@tsebocleaning.co.za;
Metro Sanitary Solutions;861445522;accounts@metrosan.co.za;
ZONE CHEMICALS (EDMS) BPK;860966300;;
BARRY'S WINDOW CLEANING SERVICES CC;215108582;bhrwindows@gmail.com;
R E B SOLUTIONS CC;217036302;bridgette@rebcleaning.co.za;
UBUNYE CLEANING SERVICES;118053080;richard@ubunye.co.za;
La Fancy Kay (Pty) Ltd;145695645;info@lafancykay.co.za;
MONABO HYGIENE SERVICES;214247876;cpt@monabo.co.za;
PERSONAL TOUCH CC;217058002;ptouch@iburst.co.za;
INDUSTRIAL LAUNDROMAT (PTY) LTD;822580252;laundry@mweb.co.za;
BADIRAMMOGO TEA CLEANING SERVICES;733176479;badirammogo.teacleaning@gmail.com;
BROOMSTIX HOUSE AND OFFICE CLEANING SERVICE (HERMANUS);724641305;broomstix@hermanus.co.za;
DYNAMIC CARPET CLEANERS;833111125;rubis@axxess.co.za;
BIDVEST STEINER HYGIENE;343758638;mijettev@steiner.co.za;
YEBO CLEANING &HYGIENE;114851617;accounts@yeboshine.co.za;
REAKGONA COMMERCIAL AND INDUSTRIAL HYGIENE;123232857;christopherk@reakgonahygiene.co.za;
MORENA CORPORATE SERVICES;118246229;elliot.mokone@morena.co.za;
VERSATEX CLEANING SERVICES;838457717;traceydurban@versatex.co.za;
UBUNTU HYGIENE;414510226;admin@ubuntuclean.co.za;
VAN RENSBURG CLEANING;448746866;info@vanrensburgcleaning.co.za;
IMPACT CLEANING;117931126;accounts@impactcleaning.co.za;trevor@impactcleaning.co.za
HYGIVIT CLEANING SERVICES;861494484;info@hygivit.com;
SHARPLINE LAUNDRY;136901030;info@sharplinelaundry.co.za;
GRA-TECH (PTY) LTD;118241518;gratec2@mwebbiz.co.za;
GREEN SWEEP CONSORTIUM;183815760;info@gsc1.co.za;
PRIME CLEANING SUPPLIER CC;113143014;sandra@primecs.co.za;
BETTA PROJECTS CLEANING CONTRACTORS;152988391;paolocigana33@gmail.com;
TYZER-T SECURITY & CLEANING SERVICES;152953950;tyzert@telkomsa.net;
HULLEY CLEANING SPECIALISTS;118869065;cleaningspec@polka.co.za;
A A CLEANING SERVICES;446950835;aacleaning@telkomsa.net;
AFRI-SERVICES (PTY) LTD;861100625;marketing1@afrisix.co.za;
PRESTIGE CLEANING SERVICES (PTY) LTD;137527631;nico@presclean.co.za;
WETCHEM;145974605;wetchem@mweb.co.za;
AMANDLA AHLANGENE SECURITY & CLEANING SERVICES;313012205;;
