CITY OF TSHWANE MUNICIPALITY;123587911;leroyd@tshwane.gov.za;
CAPRICORN DISTRICT MUNICIPALITY (POLOKWANE);152941004;info@cdm.org.za;
ANCHOR PLUMBING;860103076;;
ARCHER PLUMBING;118845248;;
OPC ELECTRICAL (PTY) LTD;724217010;;
SIEMENS SOUTHERN AFRICA (PTY) LTD;116522000;saritagouws@siemens.com;
ROCKWELL SOFTWARE;116549700;racs-za@ra.rockwell.com;
FAST FOUR SERVICES (PTY) LTD;114844170;;
DUANE PLUMBING & ELECTRICAL;510115650;duane.electrical@gmail.com;
HDM CONSTRUCTION CC;478745923;hdmcontracto@telkomsa.net;
S A FORKLIFT;219327851;;
ROCKWOOD ELECTRICAL MOTORS CC;118934310;bob@rockwoodelectrical.co.za;
ELECTRICAL SHOPPE;333429326;electricalshoppe@telkomsa.net;
A R M ELECTRICAL AND PLUMBING;116154310;armwesley@gmail.com;
DAVID STUTHARD PLUMBING AND ELECTRICAL;413640025;bookings@dspec.co.za;
BLITS ELEKTRISIENS;123321815;alet@blitspta.co.za;
E M W ELECTRICAL & PLUMBING SERVICES;514519064;accounts@emwbloem.co.za;
CLAREMONT ELECTRICAL;217977225;crefrig@gmail.com;
DUDLEY'S IRRIGATION SERVICES;217976567;dudleyselectrical@telkomsa.net;
TRANSFORM ELECTRICAL WHOLESALERS;445336214;louise@transform.co.za;
2-IN-1 BEETLE ELECTRICAL & PLUMBING;215562221;inspect@telkomsa.net;
A & G ELECTRICAL;152921789;heinz@agelectrical.co.za;
KINGKI ELECTRICAL CONTRACTORS;152959900;kingelectrical@vodamail.co.za;
DUDLEY'S ELECTRICAL;217615530;;
SOUTHERN ASSIST TECHNOLOGY (PTY) LTD;847237413;southernassisttechnology@gmail.com;
BEREA ELECTRICAL;313010409;bereaelectrical@iburst.co.za;
EMERGENCY ELECTRICAL;282141649;emergencyelectrical@telkomsa.net;
J J'S ELECTRONICS;314689874;jjelectronics@telkomsa.net;
EDDYS ELECTRICAL;117921306;;
INGQINISO SECURITY CO;783612989;mhlanasamuel@gmail.com;
MASTREC VAAL;163631193;mastrecvaal@polka.co.za;
TAYLOR L J WETTON CC;217619086;ljtaylorwettoncc@telkomsa.net;
KAMISH ELECTRICAL CC;216965646;ebrahim@kamishelectrical.co.za;
WIERDA ELECTRIC;126531980;pietwierda@telkomsa.net;
MOULDCOR CONSTRUCTION CC;114323838;mouldcor@telkomsa.net;
MILNE ELECTRICAL;415813501;milneelec@iafrica.com;
JACARANDA RENOVATION SERVICES;129429847;jacarandarenovations@iburst.co.za;
VENTER ELECTRICAL & PLUMBING SERVICES;575732280;vedienste@lantic.net;
I S ELECTRICAL;105969890;iselectrical@worldonline.co.za;
SHONE'S ELEKTRIES;437432043;admin@shones.co.za;
ZULULAND SERVICE PROVIDERS;357512186;zspworks@gmail.com;
ELECTRAHERTZ (EDMS) BPK;128040120;willy@electrahertz.co.za;
TECHNO GROUP;219767117;info@technoelectrical.co.za;
SIGMA SWITCHBOARD MANUFACTURERS CC;414532786;0414513508@efg.co.za;
DIXON WG ELECTRICAL;215112083;maerefae@hotmail.com;
PRECISION ELECTRICAL;448770645;iti26013@mweb.co.za;
AH & A ELECTRICAL;119541178;accounts@ahaelectronics.co.za;
JITRAN AIR CONDITIONING SERVICES;119742704;flippies@vodamail.co.za;
POWER THRUST ELECTRICAL CC;219066232;powerthrust@mweb.co.za;
ULUNGENI CONSULTING (PTY) LTD;357921026;ulungeni@iafrica.com;
SUPERVOLT ELECTRICAL CC;177125520;verwey@telkomsa.net;
LA GRANGE ELEKTRIES;227131197;lagrangeelek@mweb.co.za;
SEI ELECTRICAL CC;178115633;seielectrical@telkomsa.net;
ECN ELECTRICAL & AIRCONDITIONING SERVICES (PTY) LTD;125431127;ecnelec@mweb.co.za;
BRAND ENGINEERING (SA) (PTY) LTD;215509100;info@brandsa.com;
LEBOGANG ELECTRICAL WHOLESALERS;152230374;admin@lebogangelectrical.co.za;
KGOSI ENGINEERING CC;152960275;info@kgosiengineering.co.za;
PREVENT ELECTRICAL CAPE CC;219486636;info@preventelectrical.co.za;
DC10 ELECTRICAL CONSTRUCTION;538313484;ina@dc10.co.za;
EXCLUSIVE WORKS;283131750;info@exclusiveworks.co.za;
STAR SERVICE PROVIDERS;152930140;sspgerhard@gmail.com;
ELECTRO-SINE;233121365;electro-sine@telkomsa.net;
